"ID","NAME","MASTERSTATEID","MASTERCITYCATEGORYID","ADDITIONALHRA","ISACTIVE","CREATEDBY","CREATEDDATE","MODIFIEDBY","MODIFIEDDATE","ISDELETED","DELETEDBY","DELETEDDATE","ISTPTACITY"
21,"string1",0,3,0,0,"string",16-JAN-25,"",,1,"EMP001",20-JAN-25,0
22,"string",0,3,0,0,"string",16-JAN-25,"",,1,"EMP001",20-JAN-25,0
23,"hello2",2,3,89,0,"string",16-JAN-25,"string",17-JAN-25 08.38.47.753000000 AM,1,"EMP001",20-JAN-25,0
24,"Pune",2,1,3,1,"string",16-JAN-25,"",,0,"",,0
25,"string2",0,3,0,0,"string",16-JAN-25,"",,1,"EMP001",20-JAN-25,0
26,"stringqq",0,3,0,0,"string",16-JAN-25,"",,1,"EMP001",20-JAN-25,0
43,"zzz",1,3,10,0,"admin",16-JAN-25,"",17-JAN-25 06.35.35.686000000 AM,1,"EMP001",20-JAN-25,0
45,"Nagpur1",3,3,43,1,"string",16-JAN-25,"",,1,"EMP001",20-JAN-25,0
46,"nn",3,3,33,1,"string",16-JAN-25,"",,1,"EMP001",20-JAN-25,0
56,"Pariss1",4,3,34,1,"string",16-JAN-25,"string",17-JAN-25 05.32.13.738000000 AM,1,"EMP001",20-JAN-25,0
72,"Nashika",2,3,45,1,"string",17-JAN-25,"string",17-JAN-25 08.41.13.710000000 AM,1,"",,0
127,"Delhii",5,3,23,1,"EMP001",20-JAN-25,"EMP001",20-JAN-25 06.57.46.161000000 AM,1,"EMP001",20-JAN-25,0
228,"Kadapa1",1,3,12,0,"EMP001",22-JAN-25,"",,1,"",,0
233,"Nashiki",14,3,32,0,"EMP001",22-JAN-25,"",,1,"",,0
1345,"Churu",21,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1346,"Phulera",21,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1347,"Suratgarhcantt",21,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1348,"Deogarhjpr",21,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1349,"Inderpura",21,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1350,"Boondi",21,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1351,"Aruvankadu",23,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1352,"Avadicrpf",23,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1353,"Gandhinagarbsf",28,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1354,"Aradhpurbsf",28,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1355,"Gccrpfsguj",28,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
1356,"Narela",29,3,0,1,"Manual",04-FEB-25,"",,0,"",,0
