"ID","LEVELID","PAYSCALE","BASICPAY","CREATEDDATE","CREATEDBY","MODIFIEDDATE","MODIFIEDBY","ISACTIVE","ISDELETED","DELETEDBY","DELETEDTIME"
1,1,"test1",7808,18-JAN-25,"pawan10035",23-JAN-25,"SystemUser",1,1,"SystemUser",23-JAN-25
2,1,"tes",7808,18-JAN-25,"pawan10035",23-JAN-25,"SystemUser",1,1,"SystemUser",23-JAN-25
3,1,"Scale-3",19100,18-JAN-25,"pawan10035",,"",1,0,"",
4,1,"Scale-4",19700,18-JAN-25,"pawan10035",,"",1,0,"",
5,1,"Scale-5",20300,18-JAN-25,"pawan10035",,"",1,0,"",
6,1,"Scale-6",20900,18-JAN-25,"pawan10035",,"",1,0,"",
7,1,"Scale-7",21500,18-JAN-25,"pawan10035",,"",1,0,"",
8,1,"Scale-8",22100,18-JAN-25,"pawan10035",,"",1,0,"",
9,1,"Scale-9",22800,18-JAN-25,"pawan10035",,"",1,0,"",
10,1,"Scale-10",23500,18-JAN-25,"pawan10035",,"",1,0,"",
11,1,"Scale-11",24200,18-JAN-25,"pawan10035",,"",1,0,"",
12,1,"Scale-12",24900,18-JAN-25,"pawan10035",,"",1,0,"",
13,1,"Scale-13",25600,18-JAN-25,"pawan10035",,"",1,0,"",
14,1,"Scale-14",26400,18-JAN-25,"pawan10035",,"",1,0,"",
15,1,"Scale-15",27200,18-JAN-25,"pawan10035",,"",1,0,"",
16,1,"Scale-16",28000,18-JAN-25,"pawan10035",,"",1,0,"",
17,1,"Scale-17",28800,18-JAN-25,"pawan10035",,"",1,0,"",
18,1,"Scale-18",29700,18-JAN-25,"pawan10035",,"",1,0,"",
19,1,"Scale-19",30600,18-JAN-25,"pawan10035",,"",1,0,"",
20,1,"Scale-20",31500,18-JAN-25,"pawan10035",,"",1,0,"",
21,1,"Scale-21",32400,18-JAN-25,"pawan10035",,"",1,0,"",
22,1,"Scale-22",33400,18-JAN-25,"pawan10035",,"",1,0,"",
23,1,"Scale-23",34400,18-JAN-25,"pawan10035",,"",1,0,"",
24,1,"Scale-24",35400,18-JAN-25,"pawan10035",,"",1,0,"",
25,1,"Scale-25",36500,18-JAN-25,"pawan10035",,"",1,0,"",
26,1,"Scale-26",37600,18-JAN-25,"pawan10035",,"",1,0,"",
27,1,"Scale-27",38700,18-JAN-25,"pawan10035",,"",1,0,"",
28,1,"Scale-28",39900,18-JAN-25,"pawan10035",,"",1,0,"",
29,1,"Scale-29",41100,18-JAN-25,"pawan10035",,"",1,0,"",
30,1,"Scale-30",42300,18-JAN-25,"pawan10035",,"",1,0,"",
31,1,"Scale-31",43600,18-JAN-25,"pawan10035",,"",1,0,"",
32,1,"Scale-32",44900,18-JAN-25,"pawan10035",,"",1,0,"",
33,1,"Scale-33",46200,18-JAN-25,"pawan10035",29-JAN-25,"SystemUser",1,0,"",
34,1,"Scale-34",47600,18-JAN-25,"pawan10035",,"",1,0,"",
35,1,"Scale-35",49000,18-JAN-25,"pawan10035",,"",1,0,"",
36,1,"Scale-36",50500,18-JAN-25,"pawan10035",,"",1,0,"",
37,1,"Scale-37",52000,18-JAN-25,"pawan10035",,"",1,0,"",
38,1,"Scale-38",53600,18-JAN-25,"pawan10035",,"",1,0,"",
39,1,"Scale-39",55200,18-JAN-25,"pawan10035",,"",1,0,"",
40,1,"Scale-40",56900,18-JAN-25,"pawan10035",,"",1,0,"",
41,2,"Scale-1",19900,18-JAN-25,"pawan10035",,"",1,0,"",
42,2,"Scale-2",20500,18-JAN-25,"pawan10035",,"",1,0,"",
43,2,"Scale-3",21100,18-JAN-25,"pawan10035",,"",1,0,"",
44,2,"Scale-4",21700,18-JAN-25,"pawan10035",,"",1,0,"",
45,2,"Scale-5",22400,18-JAN-25,"pawan10035",,"",1,0,"",
46,2,"Scale-6",23100,18-JAN-25,"pawan10035",,"",1,0,"",
47,2,"Scale-7",23800,18-JAN-25,"pawan10035",,"",1,0,"",
48,2,"Scale-8",24500,18-JAN-25,"pawan10035",,"",1,0,"",
49,2,"Scale-9",25200,18-JAN-25,"pawan10035",,"",1,0,"",
