"ID","ROLEID","PERMISSIONID","ISACTIVE","CREATEDBY","CREATEDDATE","MODIFIEDBY","MODIFIEDDATE","ISDELETED"
141,1,5,1,"",28-JAN-25,"",,0
142,1,6,1,"",28-JAN-25,"",,0
143,1,7,1,"",28-JAN-25,"",,0
144,1,8,1,"",28-JAN-25,"",,0
145,3,5,1,"",28-JAN-25,"",,0
146,3,6,1,"",28-JAN-25,"",,1
147,3,7,1,"",28-JAN-25,"",,1
148,3,8,1,"",28-JAN-25,"",,1
165,2,27,1,"EMP001",27-JAN-25,"",,0
166,2,28,1,"EMP001",27-JAN-25,"",,1
167,2,5,1,"EMP001",27-JAN-25,"",,1
168,2,10,1,"EMP001",27-JAN-25,"",,1
169,2,1,1,"EMP001",27-JAN-25,"",,1
170,3,2,1,"EMP001",29-JAN-25,"",,1
171,3,3,1,"EMP001",29-JAN-25,"",,1
172,3,1,1,"EMP001",27-JAN-25,"",,0
173,3,4,1,"",28-JAN-25,"",,1
174,3,15,1,"EMP001",27-JAN-25,"",,0
175,3,16,1,"EMP001",27-JAN-25,"",,1
176,3,27,1,"EMP001",27-JAN-25,"",,0
177,3,36,1,"EMP001",27-JAN-25,"",,0
178,3,28,1,"EMP001",27-JAN-25,"",,0
179,3,35,1,"EMP001",27-JAN-25,"",,0
180,3,37,1,"EMP001",27-JAN-25,"",,0
181,4,1,1,"EMP001",27-JAN-25,"",,1
182,4,5,1,"EMP001",27-JAN-25,"",,1
183,4,10,1,"EMP001",27-JAN-25,"",,1
184,4,15,1,"EMP001",27-JAN-25,"",,1
185,4,19,1,"EMP001",27-JAN-25,"",,1
186,4,23,1,"EMP001",27-JAN-25,"",,1
187,4,27,1,"EMP001",27-JAN-25,"",,0
188,4,28,1,"EMP001",27-JAN-25,"",,1
189,4,29,1,"EMP001",27-JAN-25,"",,1
190,4,34,1,"EMP001",27-JAN-25,"",,1
191,4,39,1,"EMP001",27-JAN-25,"",,1
192,4,38,1,"EMP001",27-JAN-25,"",,1
193,4,43,1,"EMP001",27-JAN-25,"",,1
194,4,44,1,"EMP001",27-JAN-25,"",,1
195,4,48,1,"EMP001",27-JAN-25,"",,1
196,4,53,1,"EMP001",27-JAN-25,"",,1
138,1,9,1,"",28-JAN-25,"",,0
139,3,9,1,"EMP001",28-JAN-25,"",,1
140,3,10,1,"",28-JAN-25,"",,0
261,2,14,1,"",13-FEB-25,"",,0
262,1,14,1,"",13-FEB-25,"",,0
263,1,14,1,"",13-FEB-25,"",,0
41,1,,1,"",28-JAN-25,"",,1
42,1,,1,"",28-JAN-25,"",,1
43,1,29,1,"",28-JAN-25,"",,0
44,1,30,1,"",28-JAN-25,"",,0
45,1,31,1,"",28-JAN-25,"",,0
46,1,32,1,"",28-JAN-25,"",,1
47,1,33,1,"",28-JAN-25,"",,0
48,1,34,1,"",28-JAN-25,"",,0
49,1,35,1,"",28-JAN-25,"",,0
50,1,36,1,"",28-JAN-25,"",,0
51,1,37,1,"",28-JAN-25,"",,0
52,1,15,1,"",28-JAN-25,"",,0
53,1,16,1,"",28-JAN-25,"",,0
54,1,17,1,"",28-JAN-25,"",,0
55,1,18,1,"",28-JAN-25,"",,0
56,1,19,1,"",28-JAN-25,"",,0
57,1,20,1,"",28-JAN-25,"",,0
58,1,21,1,"",28-JAN-25,"",,0
59,1,22,1,"",28-JAN-25,"",,0
60,1,23,1,"",28-JAN-25,"",,0
61,1,24,1,"",28-JAN-25,"",,0
62,1,25,1,"",28-JAN-25,"",,0
63,1,26,1,"",28-JAN-25,"",,0
64,1,38,1,"",28-JAN-25,"",,0
65,1,40,1,"",28-JAN-25,"",,0
66,1,41,1,"",28-JAN-25,"",,0
67,1,42,1,"",28-JAN-25,"",,0
68,1,43,1,"",28-JAN-25,"",,0
69,1,44,1,"",28-JAN-25,"",,0
70,1,45,1,"",28-JAN-25,"",,0
71,1,46,1,"",28-JAN-25,"",,0
72,1,47,1,"",28-JAN-25,"",,0
73,1,48,1,"",28-JAN-25,"",,0
74,1,50,1,"",28-JAN-25,"",,0
75,1,51,1,"",28-JAN-25,"",,0
76,1,52,1,"",28-JAN-25,"",,0
77,1,53,1,"",28-JAN-25,"",,0
78,1,54,1,"",28-JAN-25,"",,0
79,1,55,1,"",28-JAN-25,"",,0
80,1,39,1,"",28-JAN-25,"",,0
81,1,49,1,"",28-JAN-25,"",,0
82,1,56,1,"",28-JAN-25,"",,0
83,3,29,1,"",28-JAN-25,"",,0
84,3,30,1,"",28-JAN-25,"",,1
85,3,31,1,"",28-JAN-25,"",,1
86,3,32,1,"",28-JAN-25,"",,0
87,3,33,1,"",28-JAN-25,"",,1
88,3,34,1,"",28-JAN-25,"",,0
89,3,11,1,"",28-JAN-25,"",,1
90,3,12,1,"",28-JAN-25,"",,1
91,1,10,1,"",28-JAN-25,"",,0
92,1,11,1,"",28-JAN-25,"",,0
93,1,12,1,"",28-JAN-25,"",,0
94,3,17,1,"",28-JAN-25,"",,1
95,3,18,1,"",28-JAN-25,"",,1
96,3,19,1,"",28-JAN-25,"",,0
97,3,20,1,"",28-JAN-25,"",,0
98,3,21,1,"",28-JAN-25,"",,0
99,3,22,1,"",28-JAN-25,"",,0
100,3,23,1,"",28-JAN-25,"",,0
101,3,24,1,"",28-JAN-25,"",,1
102,3,25,1,"",28-JAN-25,"",,1
103,3,26,1,"",28-JAN-25,"",,1
104,3,38,1,"",28-JAN-25,"",,0
105,3,40,0,"",28-JAN-25,"",,0
106,3,41,1,"",28-JAN-25,"",,0
107,3,42,1,"",28-JAN-25,"",,0
108,3,43,1,"",28-JAN-25,"",,0
109,3,44,1,"",28-JAN-25,"",,0
110,3,45,1,"",28-JAN-25,"",,1
111,3,46,1,"",28-JAN-25,"",,1
112,3,47,1,"",28-JAN-25,"",,1
113,3,48,1,"",28-JAN-25,"",,0
114,3,50,1,"",28-JAN-25,"",,1
115,3,51,1,"",28-JAN-25,"",,1
116,3,52,1,"",28-JAN-25,"",,1
117,3,53,1,"",28-JAN-25,"",,0
118,3,54,1,"",28-JAN-25,"",,0
119,3,55,1,"",28-JAN-25,"",,0
120,3,39,1,"",28-JAN-25,"",,0
121,3,49,1,"",28-JAN-25,"",,0
122,3,56,1,"",28-JAN-25,"",,0
123,2,15,1,"",28-JAN-25,"",,1
124,2,19,1,"",28-JAN-25,"",,1
125,2,23,1,"",28-JAN-25,"",,1
126,2,29,1,"",28-JAN-25,"",,1
127,2,32,1,"",28-JAN-25,"",,1
128,2,34,1,"",28-JAN-25,"",,1
129,2,38,1,"",28-JAN-25,"",,0
130,2,39,1,"",28-JAN-25,"",,0
131,2,40,1,"",28-JAN-25,"",,0
132,2,43,1,"",28-JAN-25,"",,1
133,2,44,1,"",28-JAN-25,"",,1
134,2,48,1,"",28-JAN-25,"",,1
135,2,53,1,"",28-JAN-25,"",,1
161,1,1,1,"EMP001",27-JAN-25,"",,0
162,1,2,1,"EMP001",27-JAN-25,"",,0
