"ID","CODE","STATENAME","ISACTIVE","CREATEDDATE","CREATEDBY","MODIFIEDDATE","MODIFIEDBY"
1,"AP","Andhra Pradesh",1,12-DEC-24,"pawan10035",,""
2,"AR","Arunachal Pradesh",1,12-DEC-24,"pawan10035",,""
3,"AS","Assam",1,12-DEC-24,"pawan10035",,""
4,"BR","Bihar",1,12-DEC-24,"pawan10035",,""
5,"CG","Chhattisgarh",1,12-DEC-24,"pawan10035",,""
6,"GA","Goa",1,12-DEC-24,"pawan10035",,""
7,"GJ","Gujarat",1,12-DEC-24,"pawan10035",,""
8,"HR","Haryana",1,12-DEC-24,"pawan10035",,""
9,"HP","Himachal Pradesh",1,12-DEC-24,"pawan10035",,""
10,"JH","Jharkhand",1,12-DEC-24,"pawan10035",,""
11,"KA","Karnataka",1,12-DEC-24,"pawan10035",,""
12,"KL","Kerala",1,12-DEC-24,"pawan10035",,""
13,"MP","Madhya Pradesh",1,12-DEC-24,"pawan10035",,""
14,"MH","Maharashtra",1,12-DEC-24,"pawan10035",,""
15,"MN","Manipur",1,12-DEC-24,"pawan10035",,""
16,"ML","Meghalaya",1,12-DEC-24,"pawan10035",,""
17,"MZ","Mizoram",1,12-DEC-24,"pawan10035",,""
18,"NL","Nagaland",1,12-DEC-24,"pawan10035",,""
19,"OD","Odisha",1,12-DEC-24,"pawan10035",,""
20,"PB","Punjab",1,12-DEC-24,"pawan10035",,""
21,"RJ","Rajasthan",1,12-DEC-24,"pawan10035",,""
22,"SK","Sikkim",1,12-DEC-24,"pawan10035",,""
23,"TN","Tamil Nadu",1,12-DEC-24,"pawan10035",,""
24,"TS","Telangana",1,12-DEC-24,"pawan10035",,""
25,"TR","Tripura",1,12-DEC-24,"pawan10035",,""
26,"UP","Uttar Pradesh",1,12-DEC-24,"pawan10035",,""
27,"UK","Uttarakhand",1,12-DEC-24,"pawan10035",,""
28,"WB","West Bengal",1,12-DEC-24,"pawan10035",,""
29,"DL","Delhi",1,12-DEC-24,"pawan10035",,""
30,"JK","Jammu and Kashmir",1,12-DEC-24,"pawan10035",,""
31,"LA","Ladakh",1,12-DEC-24,"pawan10035",,""
32,"PY","Puducherry",1,12-DEC-24,"pawan10035",,""
33,"AN","Andaman and Nicobar Islands",1,12-DEC-24,"pawan10035",,""
34,"CH","Chandigarh",1,12-DEC-24,"pawan10035",,""
35,"DD","Dadra and Nagar Haveli and Daman and Diu",1,12-DEC-24,"pawan10035",,""
