"OFFICECODE","OFFICENAME","CITY","REGION","STATE","PINCODE","DICOFFICETYPEID"
"1037","KENDRIYA VIDYALAYA Silvassa","Silvasa","AHMEDABAD","Dadra and Nagar Haveli and Daman and Diu",396230,6
"1403","KENDRIYA VIDYALAYA AGCR COLONY","Agcrcolony","DELHI","Delhi",110092,6
"1404","KENDRIYA VIDYALAYA ANDREWS GANJ","Andrewsganj","DELHI","Delhi",110024,6
"1405","KENDRIYA VIDYALAYA (AFS) ARJANGARH","Arjangarh","DELHI","Delhi",110047,6
"1406","KENDRIYA VIDYALAYA NTPC BADARPUR","Badarpurntpc","DELHI","Delhi",110044,6
"1407","KENDRIYA VIDYALAYA (AFS) BAWANA","Bawana","DELHI","Delhi",110039,6
"1408","KENDRIYA VIDYALAYA (BSF) CHHAWALA CAMP","Chhawalacamp","DELHI","Delhi",110071,6
"1409","KENDRIYA VIDYALAYA CANTT NO.I DELHI","Delhicantt","DELHI","Delhi",110010,6
"1410","KENDRIYA VIDYALAYA NO.II DELHI CANTT","Delhicantt","DELHI","Delhi",110010,6
"1411","KENDRIYA VIDYALAYA No. III DELHI CANTT","Delhicantt","DELHI","Delhi",110010,6
"1412","KENDRIYA VIDYALAYA NO. IV DELHI CANTT KANDHAR LINES","Delhicantt","DELHI","Delhi",110010,6
"1413","KENDRIYA VIDYALAYA SECTOR 5 DWARKA","Dwarkasec5","DELHI","Delhi",110075,6
"1417","KENDRIYA VIDYALAYA GOLE MARKET","Golemarket","DELHI","Delhi",110001,6
"1423","KENDRIYA VIDYALAYA INA COLONY","Inacolony","DELHI","Delhi",110023,6
"1424","KENDRIYA VIDYALAYA JANAKPURI","Janakpuri","DELHI","Delhi",110058,6
"1425","KENDRIYA VIDYALAYA (CRPF) JHARODA KALAN","Jharodakalan","DELHI","Delhi",110072,6
"1426","KENDRIYA VIDYALAYA LAWRANCE ROAD KESHAVPURAM","Lawranceroad","DELHI","Delhi",110035,6
"1427","KENDRIYA VIDYALAYA MASJID MOTH","Masjidmoth","DELHI","Delhi",110049,6
"1428","KENDRIYA VIDYALAYA NARELA","Narela","DELHI","Delhi",110040,6
"1429","KENDRIYA VIDYALAYA NEW FRIENDS CENTRE VIGYAN VIHAR","Newfriendscentre","DELHI","Delhi",110092,6
"1430","KENDRIYA VIDYALAYA NEW MEHRAULI ROAD JNU","Newmehrauliroad","DELHI","Delhi",110067,6
"1432","KENDRIYA VIDYALAYA PAPANKALAN (SPG) DWARKA","Dwarkaspg","DELHI","Delhi",110077,6
"1433","KENDRIYA VIDYALAYA PASCHIM VIHAR","Paschimvihar","DELHI","Delhi",110087,6
"1434","KENDRIYA VIDYALAYA PITAMPURA","Pitampura","DELHI","Delhi",110034,6
"1435","KENDRIYA VIDYALAYA PRAGATIVIHAR","Pragativihar","DELHI","Delhi",110003,6
"1436","KENDRIYA VIDYALAYA PUSHP VIHAR SAKET","Pushpviharsaket","DELHI","Delhi",110017,6
"1437","KENDRIYA VIDYALAYA SECTOR II R.K. PURAM","Rkpuramsec2","DELHI","Delhi",110022,6
"1438","KENDRIYA VIDYALAYA SECTOR IV R.K. PURAM","Rkpuramsec4","DELHI","Delhi",110022,6
"1439","KENDRIYA VIDYALAYA SECTOR VIII R.K. PURAM","Rkpuramsec8","DELHI","Delhi",110022,6
"1440","KENDRIYA VIDYALAYA (AFS)RAJOKARI","Rajokari","DELHI","Delhi",110038,6
"1441","KENDRIYA VIDYALAYA RANGPURI","Rangpuriiaai","DELHI","Delhi",110037,6
"1442","KENDRIYA VIDYALAYA SECTOR- III ROHINI","Rohinisec3","DELHI","Delhi",110085,6
"1443","KENDRIYA VIDYALAYA SECTOR-VIII ROHINI","Rohinisec8","DELHI","Delhi",110085,6
"1444","KENDRIYA VIDYALAYA SECTOR 22 ROHINI","Rohinisec22","DELHI","Delhi",110085,6
"1445","KENDRIYA VIDYALAYA SECTOR 25 ROHINI","Rohinisec25","DELHI","Delhi",,6
"1446","KENDRIYA VIDYALAYA SAINIK VIHAR","Sainikvihar","DELHI","Delhi",110034,6
"1447","KENDRIYA VIDYALAYA SHALIMAR BAGH","Shalimarbagh","DELHI","Delhi",110088,6
"1448","KENDRIYA VIDYALAYA TAGORE GARDEN","Tagoregarden","DELHI","Delhi",110027,6
"1449","KENDRIYA VIDYALAYA (AFS) TUGHLAKABAD","Tughlakabad","DELHI","Delhi",110080,6
"1450","KENDRIYA VIDYALAYA VASANT KUNJ","Vasantkunj","DELHI","Delhi",110070,6
"1451","KENDRIYA VIDYALAYA VIKASPURI","Vikaspuri","DELHI","Delhi",110059,6
"2102","KENDRIYA VIDYALAYA SECTOR 12 DWARKA","Dwarkasec12","DELHI","Delhi",110078,6
"2211","KENDRIYA VIDYALAYA KHICHARIPUR DELHI.","Khicharipur","DELHI","Delhi",110091,6
"2263","KENDRIYA VIDYALAYA SHAKURBASTI","Shakurbasti","DELHI","Delhi",110087,6
"2282","KENDRIYA VIDYALAYA SECTOR 28 ROHINI","Rohinisec28","DELHI","Delhi",110042,6
"2336","KENDRIYA VIDYALAYA SHAHADARA","Shahdara","DELHI","Delhi",110091,6
"2397","KENDRIYA VIDYALAYA DR. RAJENDRA PRASAD","Drrajendra","DELHI","Delhi",110004,6
"1066","KENDRIYA VIDYALAYA BAMBOLIM CAMP","Bambolimcamp","MUMBAI","Maharashtra",,6
"1067","KENDRIYA VIDYALAYA (INS)MANDOVI","Mandoviins","MUMBAI","Maharashtra",403109,6
"1068","KENDRIYA VIDYALAYA PONDA","Ponda","MUMBAI","Maharashtra",403401,6
"1069","KENDRIYA VIDYALAYA NO.I VASCO-DA-GAMA","Vascodagama","MUMBAI","Maharashtra",403802,6
"1070","KENDRIYA VIDYALAYA NO.II VASCO-DA-GAMA","Vascodagama","MUMBAI","Maharashtra",403802,6
